value,pos
14.90872,0
15.05332,1
15.09949,2
15.17038,3
15.18023,4
15.19046,5
15.20132,6
15.20874,7
15.68552,8
15.70697,9
16.01571,10
16.04854,11
16.14003,12
16.20443,13
16.27912,14
16.33333,15
16.34588,16
16.41667,17
16.43269,18
16.47049,19
16.49708,20
16.58333,21
16.61227,22
16.61841,23
16.66373,24
16.83302,25
16.93852,26
16.9391,27
16.97275,28
17.00722,29
17.01198,30
17.0242,31
17.03015,32
17.09054,33
17.12072,34
17.14465,35
17.16328,36
17.19137,37
17.19426,38
17.2127,39
17.22789,40
17.22816,41
17.23595,42
17.27709,43
17.29978,44
17.32107,45
17.32202,46
17.32536,47
17.3304,48
17.36311,49
17.36484,50
17.38693,51
17.42425,52
17.42523,53
17.46023,54
17.55365,55
17.56108,56
17.56108,57
17.56108,58
17.59314,59
17.61008,60
17.62555,61
17.62555,62
17.63748,63
17.77388,64
17.7803,65
17.80611,66
17.80682,67
17.81635,68
17.82496,69
17.84393,70
17.87507,71
17.88115,72
17.88924,73
17.89016,74
17.89267,75
17.9141,76
17.94524,77
17.95185,78
18.01624,79
18.04022,80
18.05938,81
18.07236,82
18.10888,83
18.10966,84
18.11376,85
18.13462,86
18.13643,87
18.14024,88
18.14041,89
18.14189,90
18.14773,91
18.16951,92
18.17213,93
18.17515,94
18.2101,95
18.22312,96
18.22312,97
18.22601,98
18.25,99
18.26057,100
18.26923,101
18.27423,102
18.29146,103
18.29519,104
18.29546,105
18.31414,106
18.3167,107
18.32657,108
18.33814,109
18.3528,110
18.35306,111
18.35409,112
18.36269,113
18.37005,114
18.37792,115
18.38726,116
18.41178,117
18.41667,118
18.42933,119
18.43344,120
18.43484,121
18.44583,122
18.44829,123
18.44959,124
18.45653,125
18.46748,126
18.49999,127
18.49999,128
18.49999,129
18.51497,130
18.52023,131
18.53709,132
18.5402,133
18.54333,134
18.54527,135
18.55337,136
18.57156,137
18.60169,138
18.6098,139
18.61038,140
18.627,141
18.64,142
18.64057,143
18.67627,144
18.67752,145
18.68132,146
18.68564,147
18.68815,148
18.69492,149
18.69492,150
18.71,151
18.72843,152
18.73878,153
18.74541,154
18.74786,155
18.74973,156
18.77762,157
18.79863,158
18.83886,159
18.8441,160
18.84735,161
18.87515,162
18.87976,163
18.89278,164
18.89518,165
18.8952,166
18.89853,167
18.90237,168
18.90556,169
18.91354,170
18.91509,171
18.91956,172
18.91994,173
18.93388,174
18.93803,175
18.94113,176
18.95636,177
18.96158,178
18.96659,179
18.96861,180
18.96946,181
18.98688,182
19,183
19.02563,184
19.0396,185
19.05104,186
19.06187,187
19.08042,188
19.08187,189
19.09744,190
19.1012,191
19.10166,192
19.10989,193
19.14222,194
19.15803,195
19.16336,196
19.16406,197
19.16521,198
19.16667,199
19.18793,200
19.19115,201
19.19927,202
19.20489,203
19.20712,204
19.21237,205
19.21763,206
19.22376,207
19.24591,208
19.25568,209
19.26532,210
19.27534,211
19.29016,212
19.29565,213
19.30658,214
19.30709,215
19.32884,216
19.33067,217
19.33624,218
19.34655,219
19.35004,220
19.36294,221
19.36436,222
19.38713,223
19.39219,224
19.41419,225
19.41532,226
19.42159,227
19.43136,228
19.44405,229
19.45383,230
19.45743,231
19.4649,232
19.51731,233
19.5237,234
19.52981,235
19.53292,236
19.55053,237
19.55897,238
19.57775,239
19.58003,240
19.58333,241
19.59416,242
19.61097,243
19.61249,244
19.61358,245
19.62322,246
19.62935,247
19.64166,248
19.64166,249
19.65516,250
19.6591,251
19.66521,252
19.66942,253
19.67644,254
19.67701,255
19.68633,256
19.69099,257
19.70531,258
19.71663,259
19.71704,260
19.7251,261
19.728,262
19.72979,263
19.73867,264
19.76291,265
19.77967,266
19.83635,267
19.87105,268
19.87849,269
19.89335,270
19.89348,271
19.91547,272
19.92319,273
19.92533,274
19.93313,275
19.95289,276
19.96156,277
19.96418,278
19.97321,279
19.97472,280
19.9787,281
19.97878,282
19.98168,283
19.9824,284
19.98918,285
19.99374,286
19.99842,287
20.00403,288
20.02032,289
20.04753,290
20.04753,291
20.04914,292
20.04914,293
20.05505,294
20.05677,295
20.06011,296
20.06897,297
20.07183,298
20.09307,299
20.09974,300
20.10486,301
20.13402,302
20.15011,303
20.15198,304
20.16667,305
20.17205,306
20.18045,307
20.18045,308
20.18045,309
20.18045,310
20.18045,311
20.18045,312
20.18045,313
20.18045,314
20.18045,315
20.18045,316
20.18045,317
20.18045,318
20.18045,319
20.18045,320
20.18045,321
20.18045,322
20.18045,323
20.18045,324
20.18045,325
20.18616,326
20.19704,327
20.19844,328
20.20119,329
20.21393,330
20.23716,331
20.24928,332
20.25971,333
20.28035,334
20.28467,335
20.29644,336
20.30116,337
20.30722,338
20.30935,339
20.31204,340
20.33268,341
20.33333,342
20.35012,343
20.35445,344
20.35774,345
20.37968,346
20.38188,347
20.395,348
20.40072,349
20.41342,350
20.42143,351
20.44084,352
20.44399,353
20.45131,354
20.46223,355
20.4681,356
20.48007,357
20.48616,358
20.4907,359
20.49321,360
20.49321,361
20.4985,362
20.508,363
20.52473,364
20.53239,365
20.54572,366
20.56873,367
20.57316,368
20.57846,369
20.58304,370
20.59985,371
20.61321,372
20.62593,373
20.63426,374
20.64459,375
20.65537,376
20.65691,377
20.67371,378
20.68054,379
20.69459,380
20.69619,381
20.69825,382
20.69936,383
20.70166,384
20.70447,385
20.71417,386
20.71418,387
20.7367,388
20.7424,389
20.7433,390
20.74783,391
20.75585,392
20.77926,393
20.784,394
20.7901,395
20.7981,396
20.80232,397
20.80916,398
20.81215,399
20.81487,400
20.81899,401
20.83066,402
20.83093,403
20.83627,404
20.86005,405
20.86262,406
20.87273,407
20.90307,408
20.90509,409
20.91375,410
20.92443,411
20.92443,412
20.92443,413
20.93285,414
20.93801,415
20.9561,416
20.96185,417
20.9787,418
20.98364,419
20.99159,420
21.00301,421
21.02207,422
21.02782,423
21.0569,424
21.0576,425
21.06024,426
21.06024,427
21.06024,428
21.06464,429
21.07079,430
21.1181,431
21.12002,432
21.12142,433
21.15837,434
21.1948,435
21.19557,436
21.21723,437
21.2204,438
21.23117,439
21.26344,440
21.26868,441
21.27232,442
21.27742,443
21.28276,444
21.28757,445
21.32068,446
21.32321,447
21.34649,448
21.34848,449
21.35696,450
21.35725,451
21.36047,452
21.36342,453
21.37377,454
21.37496,455
21.38469,456
21.39209,457
21.39548,458
21.41667,459
21.41667,460
21.41667,461
21.41667,462
21.41667,463
21.42715,464
21.43298,465
21.45144,466
21.45639,467
21.47479,468
21.5285,469
21.53667,470
21.53817,471
21.53992,472
21.54024,473
21.54071,474
21.54191,475
21.55058,476
21.55689,477
21.55761,478
21.57174,479
21.5869,480
21.6027,481
21.62095,482
21.63172,483
21.66032,484
21.66178,485
21.66235,486
21.66667,487
21.67391,488
21.67518,489
21.682,490
21.68488,491
21.69362,492
21.70683,493
21.72067,494
21.73559,495
21.73812,496
21.74489,497
21.7561,498
21.75858,499
21.76155,500
21.76863,501
21.76926,502
21.77748,503
21.79113,504
21.79309,505
21.80223,506
21.81466,507
21.84742,508
21.84921,509
21.85161,510
21.85486,511
21.86754,512
21.86963,513
21.87414,514
21.87818,515
21.88507,516
21.88564,517
21.88724,518
21.88738,519
21.89753,520
21.89769,521
21.89823,522
21.90574,523
21.90864,524
21.91667,525
21.91936,526
21.93065,527
21.9409,528
21.94455,529
21.96494,530
21.97645,531
21.98363,532
21.98753,533
21.98823,534
21.99743,535
21.99771,536
22,537
22.00872,538
22.01913,539
22.02915,540
22.03501,541
22.04788,542
22.04904,543
22.05903,544
22.06195,545
22.0901,546
22.09446,547
22.1069,548
22.11032,549
22.11102,550
22.11889,551
22.12,552
22.12035,553
22.14581,554
22.15565,555
22.17916,556
22.23088,557
22.24901,558
22.25,559
22.25671,560
22.26225,561
22.26314,562
22.28047,563
22.28769,564
22.29346,565
22.3205,566
22.32306,567
22.3257,568
22.32812,569
22.34239,570
22.37136,571
22.38998,572
22.39046,573
22.4006,574
22.40306,575
22.43056,576
22.4351,577
22.44612,578
22.44644,579
22.44653,580
22.45278,581
22.463,582
22.4671,583
22.4755,584
22.48353,585
22.4925,586
22.5,587
22.5,588
22.51319,589
22.52102,590
22.52557,591
22.52615,592
22.54747,593
22.54747,594
22.5586,595
22.55885,596
22.59794,597
22.60481,598
22.63153,599
22.63284,600
22.63307,601
22.66185,602
22.66535,603
22.66602,604
22.68065,605
22.70098,606
22.70388,607
22.71618,608
22.72532,609
22.72532,610
22.73142,611
22.73793,612
22.74194,613
22.75385,614
22.76205,615
22.77941,616
22.80082,617
22.80911,618
22.81753,619
22.83254,620
22.83832,621
22.84943,622
22.84952,623
22.85462,624
22.85462,625
22.85633,626
22.87112,627
22.87515,628
22.87649,629
22.88211,630
22.89285,631
22.89409,632
22.90168,633
22.91007,634
22.91376,635
22.91667,636
22.91667,637
22.92536,638
22.93523,639
22.94519,640
22.94675,641
22.94816,642
22.95368,643
22.95654,644
22.96788,645
22.9682,646
22.97639,647
22.98131,648
22.98232,649
22.98784,650
23.01145,651
23.01355,652
23.02189,653
23.03007,654
23.03878,655
23.04095,656
23.0415,657
23.0415,658
23.0442,659
23.0473,660
23.05105,661
23.07023,662
23.08333,663
23.08333,664
23.09166,665
23.10149,666
23.10475,667
23.10746,668
23.12886,669
23.14086,670
23.15409,671
23.15688,672
23.15894,673
23.17246,674
23.1744,675
23.17861,676
23.18183,677
23.18183,678
23.18183,679
23.18183,680
23.18183,681
23.18183,682
23.18183,683
23.18183,684
23.18583,685
23.20744,686
23.22148,687
23.22224,688
23.22595,689
23.24477,690
23.24771,691
23.25312,692
23.29038,693
23.29846,694
23.30161,695
23.30831,696
23.31894,697
23.32289,698
23.33115,699
23.36495,700
23.36545,701
23.37378,702
23.37834,703
23.37945,704
23.39814,705
23.40269,706
23.40361,707
23.41065,708
23.41144,709
23.41623,710
23.41667,711
23.42586,712
23.42697,713
23.42697,714
23.4387,715
23.44001,716
23.4656,717
23.48045,718
23.4834,719
23.48966,720
23.50523,721
23.51381,722
23.51634,723
23.51687,724
23.51687,725
23.54502,726
23.5459,727
23.55447,728
23.56267,729
23.5648,730
23.56529,731
23.57658,732
23.59514,733
23.60992,734
23.61779,735
23.62164,736
23.62921,737
23.63196,738
23.63433,739
23.64271,740
23.6521,741
23.6521,742
23.65518,743
23.66667,744
23.67023,745
23.69311,746
23.73515,747
23.74033,748
23.74499,749
23.76765,750
23.79694,751
23.80373,752
23.80476,753
23.8188,754
23.82212,755
23.82776,756
23.83222,757
23.84054,758
23.86833,759
23.88174,760
23.89532,761
23.90575,762
23.92005,763
23.92128,764
23.94178,765
23.9553,766
23.9553,767
23.95738,768
23.96057,769
23.98531,770
23.98632,771
23.98868,772
24.00754,773
24.00857,774
24.02004,775
24.0414,776
24.04762,777
24.05153,778
24.06791,779
24.06791,780
24.10187,781
24.11247,782
24.11591,783
24.12653,784
24.13153,785
24.14977,786
24.1572,787
24.15857,788
24.16122,789
24.17003,790
24.21488,791
24.2154,792
24.22368,793
24.22616,794
24.23169,795
24.24359,796
24.24657,797
24.2594,798
24.26097,799
24.26097,800
24.2634,801
24.26524,802
24.27438,803
24.27459,804
24.27856,805
24.28519,806
24.30495,807
24.31542,808
24.32643,809
24.32643,810
24.35509,811
24.36856,812
24.38944,813
24.39819,814
24.41115,815
24.42042,816
24.44305,817
24.4723,818
24.48117,819
24.49247,820
24.49495,821
24.5,822
24.53196,823
24.5424,824
24.54379,825
24.55326,826
24.57291,827
24.58333,828
24.58333,829
24.58333,830
24.58772,831
24.58772,832
24.61098,833
24.61293,834
24.62154,835
24.63553,836
24.63637,837
24.65186,838
24.65711,839
24.66246,840
24.68175,841
24.6857,842
24.69562,843
24.73666,844
24.74452,845
24.75,846
24.75501,847
24.76184,848
24.77371,849
24.77803,850
24.78972,851
24.79539,852
24.79681,853
24.79699,854
24.80617,855
24.81577,856
24.84561,857
24.84665,858
24.85184,859
24.85187,860
24.85791,861
24.8862,862
24.8862,863
24.90342,864
24.90429,865
24.91372,866
24.91482,867
24.93316,868
24.93978,869
24.94882,870
24.9649,871
24.96931,872
24.98153,873
24.99085,874
24.99796,875
25.03995,876
25.04166,877
25.04166,878
25.04544,879
25.04676,880
25.05567,881
25.10235,882
25.11514,883
25.11857,884
25.13338,885
25.13626,886
25.14216,887
25.14498,888
25.1649,889
25.17852,890
25.18002,891
25.19514,892
25.19514,893
25.20141,894
25.20141,895
25.22277,896
25.22577,897
25.22605,898
25.28427,899
25.28427,900
25.28427,901
25.28764,902
25.29167,903
25.31356,904
25.3255,905
25.3255,906
25.33333,907
25.33737,908
25.34059,909
25.3508,910
25.35133,911
25.35146,912
25.35181,913
25.35344,914
25.35539,915
25.37183,916
25.3863,917
25.39174,918
25.4002,919
25.40121,920
25.41386,921
25.42079,922
25.42909,923
25.42916,924
25.44707,925
25.4492,926
25.45814,927
25.47004,928
25.47004,929
25.48379,930
25.50808,931
25.54558,932
25.57389,933
25.57747,934
25.58269,935
25.59349,936
25.59682,937
25.61762,938
25.61767,939
25.62708,940
25.63249,941
25.64705,942
25.65325,943
25.66667,944
25.66667,945
25.68933,946
25.71014,947
25.71731,948
25.71918,949
25.72287,950
25.72762,951
25.73981,952
25.74395,953
25.74548,954
25.74761,955
25.7603,956
25.76945,957
25.77574,958
25.78527,959
25.78527,960
25.78765,961
25.79822,962
25.7983,963
25.79896,964
25.80289,965
25.80584,966
25.81149,967
25.82521,968
25.83077,969
25.83616,970
25.8491,971
25.86378,972
25.86378,973
25.8717,974
25.8717,975
25.88994,976
25.89759,977
25.89849,978
25.89987,979
25.91302,980
25.91436,981
25.91667,982
25.93041,983
25.93882,984
25.94276,985
25.94952,986
25.96412,987
25.96412,988
25.96412,989
25.96412,990
25.96412,991
25.96512,992
25.97912,993
25.97964,994
25.97964,995
25.99158,996
26.02839,997
26.02848,998
26.04192,999
26.0675,1000
26.09302,1001
26.09554,1002
26.10094,1003
26.11113,1004
26.11167,1005
26.11167,1006
26.11167,1007
26.11536,1008
26.13585,1009
26.15047,1010
26.15298,1011
26.17344,1012
26.17935,1013
26.18605,1014
26.18952,1015
26.19363,1016
26.1983,1017
26.212,1018
26.21348,1019
26.21516,1020
26.22548,1021
26.23821,1022
26.2383,1023
26.2383,1024
26.23885,1025
26.25,1026
26.25,1027
26.26128,1028
26.26158,1029
26.26385,1030
26.26385,1031
26.27217,1032
26.29498,1033
26.30829,1034
26.31396,1035
26.32174,1036
26.32636,1037
26.3292,1038
26.3292,1039
26.3292,1040
26.36871,1041
26.39065,1042
26.4043,1043
26.41667,1044
26.42306,1045
26.44865,1046
26.46374,1047
26.48142,1048
26.4819,1049
26.48527,1050
26.4896,1051
26.49868,1052
26.49906,1053
26.50629,1054
26.50782,1055
26.5184,1056
26.5184,1057
26.5184,1058
26.52876,1059
26.54068,1060
26.54453,1061
26.54605,1062
26.54959,1063
26.54976,1064
26.56217,1065
26.57182,1066
26.57914,1067
26.59304,1068
26.59304,1069
26.61301,1070
26.64298,1071
26.65074,1072
26.65899,1073
26.67892,1074
26.68858,1075
26.69923,1076
26.70835,1077
26.71695,1078
26.72297,1079
26.72297,1080
26.72297,1081
26.72297,1082
26.72638,1083
26.72821,1084
26.73064,1085
26.73328,1086
26.74104,1087
26.7612,1088
26.76898,1089
26.77994,1090
26.78146,1091
26.79872,1092
26.80357,1093
26.80513,1094
26.81171,1095
26.81852,1096
26.8236,1097
26.83867,1098
26.84123,1099
26.8492,1100
26.85213,1101
26.8543,1102
26.89004,1103
26.89647,1104
26.93457,1105
26.96387,1106
26.96957,1107
26.98686,1108
27.00386,1109
27.01073,1110
27.01073,1111
27.01231,1112
27.01541,1113
27.03492,1114
27.05637,1115
27.0691,1116
27.08162,1117
27.09185,1118
27.10253,1119
27.11104,1120
27.11956,1121
27.126,1122
27.13477,1123
27.15093,1124
27.15374,1125
27.18729,1126
27.21435,1127
27.21924,1128
27.22695,1129
27.23149,1130
27.23472,1131
27.23522,1132
27.23892,1133
27.23892,1134
27.23892,1135
27.23892,1136
27.26582,1137
27.27158,1138
27.27932,1139
27.30818,1140
27.30823,1141
27.32809,1142
27.32809,1143
27.3397,1144
27.34157,1145
27.34168,1146
27.3439,1147
27.36439,1148
27.37846,1149
27.39514,1150
27.39759,1151
27.40773,1152
27.41338,1153
27.41376,1154
27.43394,1155
27.43697,1156
27.44009,1157
27.44619,1158
27.46256,1159
27.46968,1160
27.4803,1161
27.48475,1162
27.4928,1163
27.5,1164
27.5,1165
27.50581,1166
27.51639,1167
27.51936,1168
27.52063,1169
27.54625,1170
27.54625,1171
27.54625,1172
27.54625,1173
27.54813,1174
27.54962,1175
27.56745,1176
27.5792,1177
27.58665,1178
27.59989,1179
27.60116,1180
27.60742,1181
27.6091,1182
27.60977,1183
